n,avg_burst,avg_arrival,priority_var,best
6,6.333333333333333,4.0,3,Priority
4,6.75,1.25,1,FCFS
5,5.0,2.8,4,Priority
7,5.142857142857143,2.142857142857143,4,Priority
4,6.5,1.0,3,Priority
7,6.285714285714286,3.0,4,Priority
3,4.0,2.0,2,FCFS
8,6.5,2.25,3,Priority
8,5.75,2.0,4,Priority
6,5.0,2.5,1,FCFS
10,4.4,1.6,4,Priority
9,6.777777777777778,2.3333333333333335,4,Priority
6,5.166666666666667,2.5,4,Priority
8,5.0,2.75,3,Priority
5,5.8,1.4,4,Priority
7,5.0,1.7142857142857142,2,RR
4,3.75,2.25,2,SJF
3,6.666666666666667,2.0,2,FCFS
9,5.0,2.5555555555555554,4,Priority
7,4.571428571428571,1.5714285714285714,4,Priority
5,3.4,2.0,3,SJF
3,5.333333333333333,2.6666666666666665,2,FCFS
4,6.0,3.25,3,Priority
9,5.666666666666667,2.6666666666666665,4,Priority
5,5.0,2.8,4,Priority
4,8.25,2.5,1,FCFS
9,6.0,2.6666666666666665,4,Priority
6,7.0,3.0,4,Priority
5,5.2,1.8,4,Priority
5,3.2,2.0,1,SJF
9,5.111111111111111,2.7777777777777777,3,Priority
3,4.0,3.3333333333333335,1,FCFS
6,4.5,2.3333333333333335,2,FCFS
8,4.625,3.125,3,Priority
9,6.888888888888889,1.8888888888888888,3,Priority
10,5.4,2.0,4,Priority
3,4.333333333333333,2.3333333333333335,0,FCFS
10,3.6,2.0,4,SJF
9,4.333333333333333,2.4444444444444446,4,Priority
8,5.75,1.625,4,Priority
7,5.571428571428571,3.0,4,Priority
5,7.2,1.8,4,Priority
5,4.6,3.0,4,Priority
8,6.875,3.25,4,Priority
4,5.25,0.75,3,Priority
6,6.333333333333333,2.8333333333333335,2,FCFS
7,6.428571428571429,2.4285714285714284,3,Priority
6,6.666666666666667,2.8333333333333335,3,Priority
4,5.75,2.0,2,FCFS
3,4.333333333333333,2.3333333333333335,4,Priority
7,5.0,3.4285714285714284,3,Priority
6,4.166666666666667,3.5,2,FCFS
10,6.3,2.2,3,Priority
